x,y,Fe,Al2O3,SiO2,Mn,P,Rest,Comminution Time,Specific Energy,Fe Recovery,Working Face
200,20,0.4688195678921919,0.0258491180682173,0.0407103981347176,0.0005983706213994,0.0012701624228019,0.312752382860672,2,1.0229163797263066,0.6999987639228956,B
200,25,0.4718144065592009,0.0242304488198757,0.0399802284318368,0.0005909144476037,0.0011567714539464,0.312227230287536,3,1.388095888574027,0.733632863495176,B
200,30,0.479346590898063,0.019168032729006,0.0361486728245506,0.0005904686801772,0.0011773896440264,0.313568845224177,2,0.8166467453565427,0.7974213007437706,B
200,35,0.470122180443479,0.0230391777231948,0.0441196063724665,0.0005331832644944,0.0013183412720789,0.310867510924287,2,1.4067985028036263,0.737862229317813,B
200,40,0.47261714189829096,0.0228820060089833,0.0338017794776293,0.000511748038094,0.0017041178805338,0.318483206696469,3,1.146530232682163,0.7434582177572899,B
200,45,0.47864088715437203,0.0205280103650391,0.0244346275819668,0.000439233963138,0.0024481614968141,0.323509079438669,3,1.54545504494999,0.7469172945044004,B
195,20,0.45135050550204603,0.0337541410720818,0.054507079020068,0.0004878731988947,0.0012486541861278,0.308651747020781,3,1.118160792203392,0.696038830961818,B
200,50,0.492938988900962,0.0146654301544334,0.0182810022020595,0.0004688596616663,0.002364521580647,0.321281197500231,1,1.5613798489794952,0.8068994472544544,B
200,55,0.499660431772708,0.0120535936634516,0.0162322566156983,0.0004699665051206,0.0019986907974685,0.319585060645553,1,0.9796660682978459,0.7942790255689404,B
195,25,0.4833450774927309,0.0200535252376375,0.0314715786872754,0.000442794324117,0.0010865949960057,0.313600429262233,1,1.3764337300964715,0.7444170858484329,B
195,30,0.486561207929195,0.016617014328435,0.0284482613185657,0.0004671912089446,0.001149165046115,0.316757160168745,1,1.0895172611851118,0.727951919299308,B
195,35,0.45271738807332895,0.0305309343345712,0.0537181325648905,0.0005835341739803,0.0013478264363121,0.311102184416917,1,1.543027570857127,0.7169137943708936,B
195,40,0.478477850077761,0.023030816981622,0.0298931833683003,0.0003309731959154,0.0014272310897235,0.316839945286678,1,1.5182907315690888,0.7619187657083826,B
195,45,0.4803872340458549,0.0218948079480671,0.0239975416803416,0.0003213528907639,0.0019590887189276,0.321439974716045,2,1.2657077776977192,0.7830819198580827,B
190,20,0.456737095872051,0.0310925117843096,0.0479687241535962,0.0005416965217594,0.0015468466561126,0.312113125012171,2,1.2161885181801493,0.740169784491052,B
-235,35,0.581771644318982,0.0171868978602595,0.0298205660180242,0.0023768210240799,0.0010174406058531,0.317826630172801,1,1.1240786641783762,0.7423320189603153,A
195,50,0.496780032508191,0.013758146295632,0.0157043652621221,0.0003288341113714,0.0024456436181427,0.32098297820454,2,1.1406244264607504,0.7949157151441164,B
-235,40,0.589534241334496,0.014666403545828,0.0245232205426765,0.0015964449865096,0.0008295133644833,0.318850176226007,3,1.0714554038300366,0.7429265257670848,A
195,55,0.49917860923833,0.0118690904294986,0.015525953839223,0.0004187469291434,0.0020354190576259,0.320972180506179,2,1.3483907693647166,0.76971308608139,B
